tanggal,judul,konten
"Februari 27, 2022",Video “Luluh Lantak Obyek vital Ukraina”,"@Bams Senoaji, selengkapnya di turnbackhoax.id | #LawanHoax #CekFaktanya #TurnBackHoax #FactCheck #DigitalLiteracy #MAFINDO #FYPRead the fact-check article: turnbackhoax.id | #FactCheck #DigitalLiteracySUMBER membagikan video yang direkam di lokasi set pesawat jatuh dari adegan film “War of the Worlds” di Universal Studios Hollywood, Kalifornia, Amerika Serikat dengan menambahkan narasi yang TIDAK sesuai dengan fakta, sehingga membangun kesimpulan KELIRU.Verifikasi VideoSalah satu video yang merekam di lokasi yang sama, Theme Park Connect di YouTube: “Just beyond the Psycho House is an airplane crash site from Paramount Pictures’ War of the Worlds, directed by Steven Spielberg. The plane from the crash site is an authentic 747 aircraft that was cut into pieces and placed on the Universal Backlot. The War of the Worlds set still stands today on The World-Famous Studio Tour at Universal Studios Hollywood.” [2]Referensi Lainnya yang BerkaitanVideo lain yang merekam di lokasi yang sama, Jim Kelly di YouTube: “Airplane crash – War of the Worlds – Universal Studios Hollywood” [3]Salah satu video adegan pesawat jatuh di film “War of the Worlds”, THESSALONIAN31N di YouTube: “War Of The Worlds Airplane Scene” [4]IMDb: “An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.” [5]Verifikasi LokasitheStudioTour.com: “The area beside the Psycho house (known as Psycho Flats) used to be the site of Falls Lake – a large water-tank and waterfall used in numerous productions. Falls Lake has now been moved, and the area is currently occupied by the huge outdoor airplane crash set built for War of the Worlds, directed by Steven Spielberg. Spielberg and crew were on the Universal backlot for three days (Jan 5 – 7 2005) shooting on the massive outdoor set.” [6]Google Earth, kata kunci: Psycho Flats Universal Studios [7]Google Maps, kata kunci: Psycho Flats Universal Studios [8]REFERENSI[1] firstdraftnews.org: “Memahami gangguan informasi” (Google Translate), https://bit.ly/3wHx0lO / https://archive.md/nb52W (arsip cadangan dengan bahasa asli, English).[2] youtube.com: “Studio Tour – War of the Worlds Set | Universal Studios Hollywood (2020)”, https://bit.ly/3ItxiSj / https://archive.ph/DGnXp (arsip cadangan)."
"Februari 27, 2022",Tangkapan Layar Artikel KOMPAS TV “PERANG RUSIA-UKRAINA PECAH PEMERINTAH AJAK MASYARAKAT IKUT WAJIB MILITER GUNA ANTISIPASI PERANG DUNIA KE-3”,NARASI:“PERANG RUSIA-UKRAINA PECAH PEMERINTAH AJAK MASYARAKAT IKUT WAJIB MILITER GUNA ANTISIPASI PERANG DUNIA KE-3”
"Februari 27, 2022",Artikel berjudul “Jokowi: saya tidak berminat tiga periode kecuali dipaksa rakyat”,
"Februari 27, 2022",Bambang Pamungkas Meninggal Dunia,"===Penjelasan:Beberapa waktu lalu, akun Youtube bernama BD sempat membagikan sebuah video yang memuat tentang informasi meninggalnya Bambang Pamungkas, mantan pemain sepakbola nasional Indonesia sebagaimana foto yang dicantumkan pada thumbnail video.Informasi yang disampaikan pada video tersebut menjelaskan bahwa Bambang Pamungkas meninggal dunia dalam peristiwa kecelakaan yang terjadi di Jalan Jenderal Sudirman, Jalan Pantura, Kota Pekalongan, dan diklaim pula bahwa Bambang Pamungkas meninggal dunia di tempat kejadian."
"Februari 27, 2022",Chemtrail Gempur Jakarta pada 14 Februari Pukul 1 Tengah Malam,"Narasi:“Jakarta di gempur chemtrail 14 februari pukul 1 tengah malam. Stay safe untuk warga jakarta ya, berdoalah mereka semua yg terlibat cepat menerima hukumannya”.===Penjelasan:Beberapa waktu lalu akun Twitter bernama @YogaswaraWahyu mengunggah sebuah video dengan narasi yang menjelaskan bahwa fenomena dalam video tersebut ialah chemtrail yang muncul di langit Jakarta pada tanggal 14 Februari 2022 pukul 1 malam. Akun tersebut pula mengimbau kepada warga Jakarta untuk tetap berhati-hati dan berdoa agar mereka semua yg terlibat dalam hal penciptaan chemtrail tersebut cepat menerima hukumannya."
"Februari 26, 2022","Jus Campuran Nanas, Lobak Dan Kemiri Dapat Menyembuhkan Asam Urat","= = = =NARASI:” Utk siapa saja yg kena asam urat … blh coba..Saya berpengalaman 20 tahun mengidap asam urat. Saya tak mampu solat dengan sempurna kerana lutut bengkak dan tak boleh dibengkokkan. Saudara saya beri kapsul asam urat dari Amerika..! Saya minum 2 hari, sakitnya cuma berkurang sedikit saja.Dengan izin Allah swt saya ditemukan dengan orang Lamongan, umurnya 110 tahun, masih gagah, anaknya yang umur 90 tahun kelihatan lebih tua darinya.Dia tanya saya, “Sakit apa ya..?”Saya jawab, “asam urat Pak..!”“coba cari sebiji nanas yang masak dan satu batang lobak putih kira-kira 250 gram. Dikisar dan tambah 3 biji Kemiri. Jadikan minuman Jus lalu diminum sekaligus..!” Katanya.[…](Lanjutan narasi dicantumkan setelah referensi)= = = =PENJELASAN:Beredar sebuah narasi oleh halaman Facebook Islam Agamaku yang mengatakan bahwa membuat jus campuran nanas, lobak dan kemiri dapat menjadi obat asam urat. Narasi tersebut juga mencantumkan tata cara membuat jus campuran nanas, lobak dan kemiri agar dapat dijadikan sebagai obat asam urat.Setelah melakukan penelusuran, hal tersebut tidak benar. Melansir dari laman berita Viva.co.id, ahli gizi dr. Marudut MPS mengatakan bahwa hingga saat ini belum terdapat penelitian yang membuktikan bahwa membuat jus campuran nanas, lobak dan kemiri dapat menjadi obat asam urat.“Belum ada riset terkait hal itu, belum ada standarnya juga. Apalagi per orang kan pasti efeknya beda-beda, kalau belum ada penelitian secara pasti,” ujarnya.Selain itu melansir Klikdokter.com, dr. Nadia Octavia mengatakan hingga saat ini belum ada bukti ilmiah bahwa campuran nanas, lobak dan kemiri dapat menurunkan kadar asam urat darah.Dengan demikian, narasi yang diunggah oleh halaman Facebook Islam Agamaku tidak sesuai fakta dan masuk ke dalam kategori misleading content atau konten yang menyesatkan.= = = =REFERENSI:https://www.viva.co.id/gaya-hidup/kesehatan-intim/882360-jus-nanas-mampu-sembuhkan-asam-urat-benarkahhttps://www.klikdokter.com/tanya-dokter/read/2878521/ramuan-nanas-lobak-kemiri-untuk-asam-urat===========lanjutan narasi :"
"Februari 26, 2022",“Ngeri #perangduniake3 #russia #ukraina”,"SUMBER membagikan video kegiatan Angkatan Darat Qatar yang meluncurkan Astros II MLRS (Multiple Launch Rocket System) yang sudah pernah beredar sebelumnya pada tahun 2019 lalu dengan menambahkan narasi yang TIDAK sesuai dengan fakta, sehingga membangun kesimpulan KELIRU.Verifikasi VideoVideo dengan bagian yang identik, Military.com pada 16 Mei 2019: “Qatar Emir Land forces live fire using the Astros II MLRS which is made in Brazil.” [2]Selain itu, suara (audio) dari video yang dibagikan sudah diganti dengan suara “Siren – Carter Air Raid Siren Ww2 Sound Effect” [3]Referensi Lainnya yang BerkaitanDefence Blog pada 24 Desember 2015: “Astros II MLRS selama Hari Nasional Qatar 2015” [4]Defence Turkey: “MLRS: 4 x Astros II MLRS and 7 x M142 HIMARS MLRS (with 60 M57 MGM-140 ATACMS Block 1A T2K TBFs with unitary warhead and 360 M31A1 GMLRS guided artillery rockets with unitary warhead)” [5]Military-Today.com: “ASTROS II (Sistem Roket Saturasi Artileri) dikembangkan oleh AVIBRAS dari Brasil. Perusahaan ini mengembangkan beberapa sistem peluncuran roket sejak awal 1960-an. ASTROS II memasuki layanan dengan Angkatan Darat Brasil pada tahun 1983. Sistem roket ini telah diekspor ke Bahrain, Malaysia, Qatar dan Arab Saudi. Ini diproduksi dengan lisensi di Irak sebagai Sajil-60.” [6]REFERENSI"
"Februari 25, 2022",Video Wanita di Palembang Hidup lagi Setelah di Kubur,"NARASI:“#wanita hidup lagi setelah di kubur#lokasi palembang”= = = = =PENJELASAN:Akun Tiktok tarink99 memposting sebuah video berdurasi 2 menit 50 detik. Dalam video nampak beberapa orang yang sedang berusaha menggali dan mengeluarkan jenazah dari kuburan. Terdapat klaim bahwa video tersebut adalah detik-detik seorang wanita di Palembang hidup lagi setelah dikuburkan.Setelah ditelusuri didapatkan informasi pada artikel milik Tribun Sumsel berjudul “Heboh Kabar Jenazah di Palembang Hidup Lagi Setelah Meninggal, Lurah dan Rumah Sakit Ungkap Fakta” yang diunggah pada 22 Februari 2022. Lurah 3-4 Ulu Misrinah mengatakan hal tersebut tidak benar.“Itu tidak benar. Kejadian yang sebenarnya itu almarhumah meninggal dan dikuburkan pada pukul 2 siang dan sudah dinyatakan meninggal dunia. Bukan hidup lagi, ” ujar Misrinah, Selasa (22/2/2022)."
"Februari 25, 2022",Foto Perayaan Pedestrian Day di Golden Gate Bridge pada 27 Mei 1937,"=====Narasi:“The Golden Gate Bridge celebrated Pedestrian Day on May 27, 1937, the day before it opened to cars. What an experience that must’ve been.Sources: https://bit.ly/3AW7Phu // https://bit.ly/3ARzQq8”====Penjelasan:Akun Twitter Annie Cushing (@AnnieCushing) mengunggah cuitan berupa foto yang diklaimnya sebagai foto perayaan Pedestrian Day di Golden Gate Bridge tanggal 27 Mei 1937. Cuitan yang diunggah pada 3 Februari 2022 mendapat atensi berupa 5 suka dan 1 retweet.Berdasarkan hasil penelusuran, klaim foto cuitan tersebut tidak benar. Konteks sebenarnya dari foto itu adalah perayaan Golden Gate Bridge ke-50 tahun pada 24 Mei 1987 yang diambil oleh seorang fotografer bernama Deanne Fitzmaurice. Mengutip dari SF Gate, diperkirakan ada sekitar 300.000 orang berjalan melintasi jembatan dalam perayaan tersebut.Sebagai tambahan, mengutip dari History, Golden Gate Bridge yang berlokasi di San Francisco itu dibangun pada 5 Januari 1933. Golden Gate Bridge yang merupakan jembatan terpanjang di dunia pada saat itu kemudian secara resmi dibuka pada 27 Mei 1937. Penyebrangan jembatan pertama kali dilakukan oleh 200.000 orang sehari sebelum acara pembukaan."
"Februari 25, 2022",Video Manusia Tertua Di Dunia yang Berumur 163 Tahun,"Narasi:(Diterjemahkan dalam Bahasa Indonesia):“Seorang pria mengaku menjadi manusia tertua di dunia dengan umur 163 tahun!”=====Penjelasan:Beredar video di YouTube yang memperlihatkan seorang kakek tua di rumah sakit yang diklaim menjadi manusia tertua di dunia dengan umur 163 tahun. Video tersebut diunggah oleh akun YouTube bernama ZyKai Media.Berdasarkan hasil penelurusan, penjelasan video tersebut tidak benar. Kakek yang ada di video tersebut bernama Luang Pho Yai. Informasi tersebut didapatkan dari akun TikTok @auyary13, yang merupakan cucu dari Luang.Selain itu, @auyary13 juga membalas salah satu komentar pengguna TikTok lain yang menanyakan umur Luang Pho Yai, dan mengatakan bahwa kakeknya berumur 109 tahun."
"Februari 25, 2022",Foto Kucing yang Menempel di Kaca Pintu saat Badai di Belanda,"====Narasi:“Stormy weather in the Netherlands..”====Penjelasan:Akun Twitter Buitengebieden (@buitengebieden_) mengunggah cuitan berupa foto kucing menempel di kaca yang diklaim terjadi saat badai di Belanda. Cuitan yang diunggah pada 18 Februari 2022 telah mendapat atensi berupa 21 ribu suka dan 2,7 ribu suka.Berdasarkan hasil penelusuran, foto cuitan tersebut bukan foto sungguhan. Foto tersebut adalah karya Maurice van Berkel yang ia unggah di laman Instagram pribadinya (@mvan_berkel) pada 18 Februari 2022. Ia juga mengunggah Instagram Story yang menunjukkan foto sebelum dan sesudah disunting pada 19 Februari 2022. Karyanya tersebut ia jual sebagai NFT (Non Fungible Token) pada situs OpenSea dan ia beri judul “Storm Eunice hits the Netherlands”.Dengan demikian, cuitan akun Twitter Buitengebieden (@buitengebieden_) dikategorikan sebagai Konten Parodi.===="
"Februari 25, 2022",Foto “Amazing scenes here in Abergavenny this morning.”,"====Narasi:“Amazing scenes here in Abergavenny this morning.”====Penjelasan:Akun Twitter Tuffer (@TufferB) mengunggah cuitan berupa foto pemandangan di Abergavenny pagi ini pada 18 Februari 2022. Cuitan tersebut mendapat atensi berupa 22,3 ribu suka dan 2.539 suka.Berdasarkan hasil penelusuran, foto cuitan tersebut bukan pemandangan Abergavenny. Konteks sebenarnya dari foto itu adalah semburan ombak besar menghantam Pantai Sennen, Cornwall, Inggris saat badai di bulan Februari 2014. Foto itu terdapat pada artikel situs Cornwall Guide berjudul “Sennen Storm – Splash of the Year!” terbit yang dipublikasikan tanggal 3 Februari 2014. Selain itu, Getty Images pernah menerbitkan foto serupa dengan judul “Fresh Storms Hit The South West Coast Of The UK” dan keterangan sebagai berikut.“SENNEN, UNITED KINGDOM – FEBRUARY 08: Storm waves break at Sennen on February 8, 2014 in Cornwall, England. The UK is bracing itself for more storms and spells of rain over the weekend. (Photo by Matt Cardy/Getty Images)”“SENNEN, UNITED KINGDOM – 08 Februari: Gelombang badai pecah di Sennen pada 8 Februari 2014 di Cornwall, Inggris. Inggris bersiap menghadapi lebih banyak badai dan hujan lebat selama akhir pekan. (Foto oleh Matt Cardy / Getty Images)”"
"Februari 25, 2022",Ketua Umum AJI Mendukung Pembubaran FPI,"“FPI MERUPAKAN ORMAS RADIKAL PENDUKUNG TERORISME. KEPUTUSAN PEMERINTAH MEMBUBARKAN FPI ADALAH LANGKAH TEPAT YANG HARUS DIDUKUNG”=====[PENJELASAN]:Baru-baru ini terdapat sebuah unggahan di media sosial Twitter yang melibatkan Ketua Umum Aliansi Jurnalis Indonesia (AJI), Sasmito Madrim. Dalam unggahan tersebut terdapat sebuah foto dari Sasmito Madrim beserta sebuah narasi tulisan yang memperlihatkan bahwa seolah-olah Sasmito Madrim mendukung Pemerintah dalam kebijakan pembubaran FPI.Namun setelah ditelusuri, klaim unggahan tentang Ketua Umum AJI tersebut ternyata hoaks. Melansir dari media sosial Instagram resminya, AJI menyatakan bahwa kabar yang menyangkut tentang Ketua Umum AJI merupakan informasi yang salah.‘Pada 24 Februari 2022, AJI Indonesia memantau terjadi serangan disinformasi yang mencantumkan nama dan foto Ketua Umum AJI Sasmito di media sosial dengan narasi:AJI Indonesia menyatakan bahwa ketiga pernyataan tersebut adalah palsu atau tidak pernah diucapkan Ketua Umum AJI Sasmito.  AJI Indonesia adalah organisasi yang mendukung dan turut berjuang untuk kebebasan berkumpul dan berpendapat, kebebasan berekspresi, dan hak warga untuk mendapatkan informasi.Dengan serangan yang menimpa Ketua Umum Sasmito, AJI Indonesia menyatakan:"
"Februari 25, 2022",Imigran Ilegal di Amerika Serikat Mendapatkan Kebebasan Lebih Untuk Akses Jaminan Kesehatan dan Hak Memilih Pada 2022,"Narasi:(Diterjemahkan dalam Bahasa Indonesia):“Pada 2022, imigran ilegal akan mendapatkan KEBEBASAN LEBIH dan akses yang lebih mudah untuk jaminan kesehatan dan kotak surat suara, bahkan lebih banyak dari warga negara AS… Coba pikirkan”.=====Penjelasan:Akun Twitter anggota kongres Texas, Ronny Jackson, dengan nama pengguna @RonnyJacksonTX, menyebarluaskan informasi bahwa pada tahun ini imigran ilegal justru akan mendapatkan hak istimewa untuk akses jaminan kesehatan dan kotak surat suara pemilu AS.Cuitan yang ditulis pada 16 Januari tersebut telah dibagikan ulang sebanyak hampir 4,000 kali dan telah disukai oleh 8,900 orang. Banyak pengguna Twitter lain yang juga memberikan komentar.Berdasarkan hasil penelurusan, kedua pernyataan tersebut salah. Menurut laman resmi pemerintah AS, hanya warga negara AS yang diizinkan memberikan suara dalam pemilu. Hanya ada lima negara bagian yang mengizinkan imigran legal untuk memilih, yaitu California, New York, Florida, New Jersey dan Texas. Namun, tidak ada negara bagian yang memberikan imigran ilegal hak untuk memilih.Hal serupa juga berlaku bagi akses jaminan kesehatan. Imigran ilegal tidak memiliki akses apapun ke jaminan kesehatan, dan juga dilarang untuk membeli asuransi baik yang bersubdisi maupun harga penuh. Beberapa negara bagian mengizinkan kasus mendesak seperti wanita melahirkan untuk mendapatkan layanan Medicaid, namun hanya sebatas itu saja.Informasi serupa pernah dibahas oleh CNN dengan judul “Fact check: Rep. Ronny Jackson falsely claims undocumented immigrants have ‘easier access’ than most citizens to health care and voting”."
"Februari 25, 2022",Tautan Hadiah Senilai Rp2 Juta oleh Pos Indonesia,"NARASI:“Selamat!Hadiah promosi aplikasi Pos Indonesia!Melalui kuesioner, Anda akan memiliki kesempatan untuk mendapatkan 2000000 Rupiah”= = = = =PENJELASAN:Beredar melalui Whatsapp link yang mengatasnamakan Pos Indonesia dalam rangka hadiah promosi aplikasi Pos Indonesia. Jika mengisi kuesioner pada link tersebut akan memiliki kesempatan mendapatkan Rp2.000.000."
"Februari 25, 2022","Nunung Meninggal Dunia, Usai Alami Kecelakaan Maut",#kabarduka #beritaduka #meninggaldunia #artis #selebritis #komedian #presenter #penyanyi #aktris #aktor #pejabat #publikfigur #pemainsinetron #host #nunung #sule #nathalieholscher #andretaulany #parto #azisgagap #raffiahmad #nagitaslavina #rafathar #baimwong #agnesmo #tukularwana #rubenonsu #ayutingting #ivangunawan #wendycagur #dennycagur #robbypurba #stevenwilliam #steveemmanuel #dudeherlino #viral #beranda
"Februari 24, 2022",Manusia Lumba-Lumba Hasil Persilangan Lumba-Lumba Dan Wanita Asal Jepang,"NARASI:“Sc gak gw sebut”Narasi dalam gambar :“tahukah kamu pemuda ini adalah orang yang lahir dari perkawinan silang lumba-lumba dan seorang manusia asal jepang yang bekerja di bidang biologi kelautan berinisial JK. ia menemukan lumba-lumba saat studi di pantai jepang pada tahun 1999, diketahui foto ini adalah anak dari pasangan orang jepang dan lumba-lumba tersebut yang sudah dewasa.= = = = =PENJELASAN:"
"Februari 24, 2022",Video “RUSIA VS ukraina”,"SUMBER membagikan video yang berasal dari permainan (game) Arma 3 dengan menambahkan narasi yang TIDAK sesuai dengan fakta, sehingga membangun kesimpulan KELIRU. Video dari Arma 3 bermunculan di peristiwa-peristiwa yang berkaitan dengan ketegangan militer, sebelumnya dihubungkan dengan ketegangan antara Tiongkok dengan Taiwan.Verifikasi VideoVideo yang identik, Compared Comparison di YouTube: “ArmA 3 – A-10 Warthog vs Anti-Air Tank – Missiles and Tracers firing – GAU-8 Avenger – Simulation”. [2]Referensi Lainnya yang BerkaitanBohemia Interactive, Arma 3. [3]"
"Februari 24, 2022",Akun Telegram Bareksa Investasi,"https://archive.vn/oa4TT=====NARASI:ʙᴀʀᴇᴋsᴀ ᴀᴅᴀʟᴀʜ ᴛᴇᴍᴘᴀᴛ ɪɴᴠᴇsᴛᴀsɪ ʀᴇᴋsᴀᴅᴀɴᴀ ᴛᴇʀʙᴀɪᴋ, ᴛᴇʀʟᴇɴɢᴋᴀᴘ ᴅᴀɴ ᴛᴇʀᴘᴇʀᴄᴀʏᴀ ᴅɪ ɪɴᴅᴏɴᴇsɪᴀ ᴅᴇɴɢᴀɴ ɪᴢɪɴ ᴅᴀʀɪ ᴏᴊᴋ. ɪɴᴠᴇsᴛᴀsɪ ʀᴇᴋsᴀᴅᴀɴᴀ ᴅᴀɴ sᴜʀᴀᴛ ʙᴇʀʜᴀʀɢᴀ ɴᴇɢᴀʀᴀ (sʙɴ)ᴀᴅᴍɪɴ/ᴄᴇᴏ: https://t.me/Ceo_KaraniyaDharmaLink akun: https://t.me/Portal_Bareksa_Investasi=====PENJELASAN:Beredar akun Telegram mengatasnamakan Bareksa Investasi, dengan alamat akun yakni https://t.me/Portal_Bareksa_Investasi.Setelah dilakukan penelusuran fakta terkait, akun tersebut adalah PALSU. Akun palsu mengatasnamakan Bareksa ini telah beredar beberapa kali dan telah dilakukan konfirmasi resmi oleh Bareksa di website resminya.Menurut informasi resmi, akun Telegram asli Bareksa adalah mode private atau hanya bisa diakses oleh member/investor yang diberikan link undangan. Adapun cara untuk mendaftar menjadi member adalah dengan men-download aplikasi Bareksa kemudian mengisi persyaratan menjadi member.Bareksa mengimbau masyarakat agar melakukan semua transaksi Bareksa melalui platform resmi Bareksa dan aplikasi Dana Bareksa yang dapat diunduh di PlayStore dan AppStore.Berdasarkan data yang terkumpul dapat disimpulkan bahwa akun https://t.me/Portal_Bareksa_Investasi adalah akun palsu dan termasuk kategori Konten Tiruan."
"Februari 24, 2022",Akun Telegram Bibit Investasi Reksadana,"https://archive.vn/jnZyu=====NARASI:INVESTASI TITIP DANA TERPERCAYAhttps://t.me/bibitku_investasi_real=====PENJELASAN:Beredar akun di Telegram mengatasnamakan Bibit Investasi Reksadana, dengan alamat akun https://t.me/bibitku_investasi_real.Setelah dilakukan penelusuran fakta terkait, akun Telegram tersebut adalah PALSU. Dijelaskan dalam channel Youtube resmi Bibit, hanya ada dua, pertama adalah Bibit.id dengan mode private atau hanya bisa diakses oleh member yang diberikan undangan link dan juga akun untuk publik yakni Bibit.id dengan tanda centang biru. Adapun cara untuk mendaftar menjadi member adalah melalui aplikasi Bibit yang bisa diunduh melalui PlayStore."
"Februari 24, 2022",Akun Telegram BRI Danareksa Sekuritas,"https://archive.vn/jM0b3=====NARASI:PT, BRI-Danareksa SekuritasDanareksa Sekuritas menawarkan AndaUntuk Berinvestasi langsung Secara Online Cukup Hanya duduk diam di rumah saja.Cara Join Investasi Lngsung aja Japri Admin kita dibawah ini.👉🏻 @Cs_danareksaidhttps://t.me/lnvestasi_BRI_Sekuritas=====PENJELASAN:Beredar akun Telegram mengatasnamakan BRI Danareksa Sekuritas, dengan alamat akun yakni https://t.me/lnvestasi_BRI_Sekuritas. Dalam deskripsikan, akun ini menawarkan investasi secara online dengan sistem titip dana.Setelah dilakukan penelusuran fakta terkait, akun tersebut adalah PALSU. BRI Danareksa Sekuritas telah mengonfirmasi perihal akun bodong yang mengatasnamakan pihaknya di Telegram. Dalam pernyataan di website resminya, pihaknya tidak pernah membuat dan/atau menawarkan program dalam bentuk titip dana kepada nasabah.Adapun informasi lain yang disampaikan yakni akun Telegram resmi milik BRI Danareksa Sekuritas adalah https://t.me/BRIDSofficialchannel. Masyarakat diminta mengonfirmasi dahulu ke akun media sosial resmi BRIDS jika ada yang menawarkan investasi mengatasnamakan BRIDS."
"Februari 24, 2022","Foto “Mercury, Venus, and Saturn align with the Giza pyramids once every 2737 years”","====Narasi:“Mercury, Venus, and Saturn align with the Giza pyramids once every 2737 years”====Penjelasan:Akun Twitter Conspiracy Theories (@StrangeTheorie) mengunggah cuitan berupa foto yang menunjukkan planet Merkurius, Venus, dan Saturnus sejajar dengan tiga Piramida Giza setiap 2737 tahun. Cuitan yang diunggah pada 4 Februari 2022 mendapat atensi berupa 14,7 ribu suka dan 1663 retweet.Berdasarkan hasil penelusuran, foto cuitan tersebut bukan foto sungguhan. Dalam artikel “2012 and the Pyramids at Giza” di World-Mysteries Blog, dijelaskan bahwa foto itu dibuat oleh penulis artikel bernama Charles Marcello menggunakan program Stellarium sebagai pembuktian tentang planet alignment tahun 2012. Mengutip dari AFP, Direktur Museum Sains dan Kosmos Tenerife Hector Socas-Navarro menjelaskan bahwa planet Merkurius, Venus, dan Saturnus akan berada di langit pada siang hari tanggal 3 Desember 2012, namun ketiga planet tersebut tidak dapat dilihat. Ia juga membantah klaim planet Merkurius, Venus, dan Saturnus hanya sejajar setiap 2737 tahun.“Mercury orbits around the Sun in 88 days, Venus in 225 days, and Saturn in 29 years. This means that we can see all three of them once a year, when the earth is on the opposite side of the Sun from Saturn.”“Merkurius mengorbit mengelilingi Matahari dalam 88 hari, Venus dalam 225 hari, dan Saturnus dalam 29 tahun. Artinya, kita bisa melihat ketiganya setahun sekali, ketika bumi berada di sisi berlawanan dari Matahari dari Saturnus,” jelas Marcello."
"Februari 24, 2022",Foto Pohon Membeku Akibat Hidran Meledak di Cuaca Dingin di Kanada,"====Narasi:“This is what happens when a fire hydrant bursts in freezing weather.”====Penjelasan:Akun Twitter Meanwhile in Canada (@MeanwhileinCana) mengunggah cuitan berupa foto es yang membeku di pohon dengan klaim sebagai hasil dari hidran kebakaran meledak di cuaca dingin. Cuitan yang diunggah pada 9 Februari 2022 mendapat atensi berupa 2.326 suka dan 481 retweet.Berdasarkan hasil penelusuran, foto cuitan tersebut bukan berada di Kanada dan berasal dari hidran kebakaran yang membeku. Akun Facebook Ron’s Weather Page (fotografer asal Texas) membuat unggahan pada 17 Desember 2015 dengan konfirmasi bahwa keluarga di Heber, Utah telah membuat “patung pohon es” selama lebih dari 20 tahun saat musim dingin. Karya tersebut dibuat sang keluarga dari selang taman dan alat misting.Hoaks serupa sebelumnya pernah dibahas oleh Hoax Eye dalam artikel berjudul “Ice Tree” terbit pada 9 Januari 2017."
"Februari 24, 2022",Foto “a polor bear doin in Arlington Texas”,"====Narasi:“What da hell is a polor bear doin in Arlington texas 😭😭😭”====Penjelasan:Akun Twitter turtle (@strawmuncher) mengunggah cuitan berupa foto beruang kutub yang diklaimnya berada di Arlington, Texas. Cuitan yang diunggah pada 3 Februari 2022 itu mendapat atensi berupa 319 ribu suka dan 27,3 ribu retweet.Berdasarkan hasil penelusuran, foto cuitan tersebut bukan foto beruang kutub di Arlington,Texas. Foto itu adalah foto beruang kutub yang berkeliaran di Longyearbyen, Norwegia bulan Desember 2019 dan digunakan pada artikel Situs Spitsbergen | Svalbard berjudul “Polar bear back in Longyearbyen” terbit 28 Desember 2019. Situs resmi Gubernur Svalbard juga mengabarkan bahwa beruang kutub itu dipindahkan dari Longyearbreen menuju Van Mijenfjorden menggunakan helicopter pada 28 Desember 2019.Sebagai tambahan, hoaks serupa pernah dibahas dalam artikel Turn Back Hoax berjudul [SALAH] Foto Beruang Kutub Berkeliaran di Kota Thrall, Texas, Amerika Serikat terbit pada 19 Februari 2021."
"Februari 24, 2022",Video Habib Umar Terbang Saat Berdoa,
"Februari 24, 2022","Munarman Dijemput Allah, Petinggi FP1 Berkurang Lagi","https://archive.vn/6pFdv=====NARASI:MASYA ALLAH…!! INNALILAHI WA INNAILAIHI ROJIUN TANGIS KELUARGA MUNARMAN TAK TERBENDUNGBERITA VIRAL ~ Munarman dijemput Allah, petinggi FP1 berkurang lagi#BERITATERKINI #BERITAHARIINITERBARU #BERITAINDONESIAHARIINI=====PENJELASAN:Beredar video di YouTube yang berasal dari akun bernama Dunia Berita. Akun tersebut membagikan video dengan judul dan thumbnail yang menyatakan Munarman meninggal dunia. Dalam thumbnail juga disertakan gambar seorang yang meninggal di rumah sakit.Setelah dilakukan penelusuran fakta terkait, baik gambar maupun judul video tidak sesuai dengan isi video. Video yang berdurasi 8 menit tersebut memberitakan kondisi Munarman yang sedang sakit saat mendekam di penjara, hal ini disampaikan langsung oleh kuasa hukumnya, Aziz Yanuar.Narasi dalam video mirip dengan artikel dari website wartaekonomi.co.id dengan judul artikel “Ya Allah Ada Kabar Buruk dari Munarman FPI, Mohon Doanya”, diterbitkan pada 11 Februari 2022. Keseluruhan artikel juga menceritakan bahwa Munarman sedang sakit, namun Aziz memastikan bahwa kliennya tersebut masih baik-baik saja.Berita terbaru mengenai Eks Petinggi FP1, Munarman, masih menjalani persidangan di Pengadilan Negeri Jakarta Timur atas dugaan tindak pidana terorisme."
"Februari 24, 2022","Foto Protes Anti-Vaksin di Canberra, Australia Tahun 2022","https://archive.ph/TZgna=====NARASI:Canberra, Australia. The freedom convoy is much bigger than expected. Over 1.5 million cars were counted at the rally.@truckerconvoy2022=====PENJELASAN:Beredar postingan di Facebook oleh akun bernama HONK, yang memposting sebuah foto disertai keterangan bahwa foto tersebut adalah protes anti-vaksin yang terjadi di Canberra, Australia, tahun 2022.Setelah dilakukan penelusuran fakta terkait, klaim HONK tidak benar. Memang ada protes anti-vaksin di Canberra, Australia tahun 2022, namun foto tersebut tidak berkaitan dengan protes anti-vaksin dan tidak diselenggarakan di Australia.Diketahui foto tersebut adalah acara Festival Glastonbury, di Somerset, Barat Daya Inggris, pada musim panas tahun 2019. Melansir dari usatoday.com, saat pihaknya menghubungi fotografer aslinya, yakni Aaron Chown, ternyata memang foto tersebut diambil saat Festival Glastonbury. Chown mengupload hasil fotonya di beberapa website.Lebih lanjut, acara Glastonbury diadakan pada tahun 2019, sebelum WHO mengumumkan secara resmi adanya pandemi Covid-19 pada 11 Maret 2020.Berdasarkan data yang terkumpul dapat disimpulkan bahwa klaim HONK adalah tidak benar dan termasuk kategori Konteks yang Salah."
